model,library,data,mae,r2,elapsed_time
RandomForestRegressor,optuna,Diabetes,18.26176750878234,0.9183876704482746,126.4209520816803
GradientBoostingRegressor,optuna,Diabetes,66.44815382516512,0.0,82.48159170150757
XGBRegressor,optuna,Diabetes,66.44815357413576,-8.881784197001252e-16,29.197978019714355
RandomForestRegressor,optuna,California Housing,0.23053996290698445,0.921165649185477,19987.126475334167
GradientBoostingRegressor,optuna,California Housing,0.9139114988721792,0.0,5069.238925218582
XGBRegressor,optuna,California Housing,0.9139114843380913,-4.884981308350689e-15,72.89957618713379
RandomForestRegressor,optuna,Wine,0.03551745254133496,0.9904561580274349,34.530726194381714
GradientBoostingRegressor,optuna,Wine,0.6114858163062884,0.0,34.90957546234131
XGBRegressor,optuna,Wine,0.6114858153840186,3.3306690738754696e-16,31.53089714050293
RandomForestRegressor,hyperopt,Diabetes,17.80137353286478,0.920847870183477,88.04983854293823
GradientBoostingRegressor,hyperopt,Diabetes,7.301534079019918e-08,1.0,125.5220057964325
XGBRegressor,hyperopt,Diabetes,0.0010386891135412979,0.9999999993630834,81.97835230827332
RandomForestRegressor,hyperopt,California Housing,0.23098643891289145,0.920549193736183,8351.614601373672
GradientBoostingRegressor,hyperopt,California Housing,0.019396059478162246,0.999437753883703,38208.357071876526
XGBRegressor,hyperopt,California Housing,0.013311506391733648,0.9997272566305595,476.46134781837463
RandomForestRegressor,hyperopt,Wine,0.0370818661971831,0.9909365351935451,39.55105900764465
GradientBoostingRegressor,hyperopt,Wine,1.2327825625467899e-08,0.9999999999999997,39.41970109939575
XGBRegressor,hyperopt,Wine,0.0001927527071427288,0.9999997056008915,41.5005567073822
RandomForestRegressor,skopt,Diabetes,22.326600038969385,0.8769108179777909,2242.8860058784485
GradientBoostingRegressor,skopt,Diabetes,36.20992085587675,0.6929613341067722,4729.104969739914
XGBRegressor,skopt,Diabetes,35.424242392477844,0.6993390405719542,24355.71996307373
RandomForestRegressor,skopt,California Housing,0.2306809806695835,0.9205039980709185,8442.979525327682
GradientBoostingRegressor,skopt,California Housing,0.17567258682029255,0.9553353685335461,27020.921253204346
XGBRegressor,skopt,California Housing,0.16144069021789514,0.9607676243977761,14914.821935415268
RandomForestRegressor,skopt,Wine,0.037887323943661975,0.9898283437110834,2164.56405878067
GradientBoostingRegressor,skopt,Wine,0.000525574783723042,0.9999992612520906,2529.7950341701508
XGBRegressor,skopt,Wine,0.0003648037180437954,0.9999995296385521,2854.602525949478
